LOCATION,ADDRESS,BIKE_PARKING,PLACEMENT,RACKS,SPACES,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION,INSTALLED_BY,YR_INSTALLED,COORDINATES
"John Muir and Skyline Blvd (Fort Funston, main lot)",None,RACK,PARCEL,4,0,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,NPS,5. INSTALL_BIKE_PARKING,NPS,2014,"(37.718951, -122.500339)"
Polo Field,None,RACK,PARCEL,0,0,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,REC & PARK,5. INSTALL_BIKE_PARKING,Rec & Park,2013,"(37.768270, -122.492460)"
San Francisco Federal Union,2645 OCEAN AVE,RACK,SIDEWALK,1,2,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING,SFMTA,2013,"(37.731654, -122.474188)"
Stanyan and Waller (Waller Street bicycle learning area and farmer's market),None,RACK,PARCEL,0,0,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING,SFMTA,2014,"(37.76825000, -122.45359000)"
Magnolia Brewery,1398 HAIGHT ST,RACK,PARKING_LANE,3,6,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING,SFMTA,2014,"(37.77040275, -122.44512989)"
Buchanan YMCA,1530 BUCHANAN ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,BUSINESS,5. INSTALL_BIKE_PARKING,private (publicly accessible),n/a,"(37.784184, -122.429150)"
300 Ivy,401 GROVE ST,RACK,SIDEWALK,4,8,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,DEVELOPER,5. INSTALL_BIKE_PARKING,contractor,2014,"(37.777492, -122.423560)"
Mission Cheese,736 VALENCIA ST,RACK,PARKING_LANE,5,10,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING,SFMTA,2014,"(37.761128, -122.421841)"
Beretta,1199 VALENCIA ST,RACK,PARKING_LANE,4,8,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING,SFMTA,2013,"(37.753848, -122.420553)"
"Sycamore, The",2140 MISSION ST,RACK,PARKING_LANE,5,10,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING,SFMTA,2013,"(37.762785, -122.419734)"
ActivSpace / Treat Street Bicycle Works,3150 18TH ST,RACK,PARKING_LANE,5,10,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING,SFMTA,2013,"(37.762699, -122.414256)"
Universal Cafe,2814 19TH ST,RACK,PARKING_LANE,6,12,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING,SFMTA,2013,"(37.76062897, -122.41064704)"
Driftwood,1225 FOLSOM ST,RACK,PARKING_LANE,7,14,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING,SFMTA,2013,"(37.774473, -122.410297)"
Alemany Farmer's Market,100 ALEMANY BLVD,RACK,PARCEL,8,16,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING,SFMTA,2014,"(37.73628325, -122.41013968)"
